	precision	recall	F1
dev_rel	64.26858513189448	58.949083503054986	61.49400866830968
dev_rel_ign	60.21165061792934	58.949083503054986	59.573678297908906
dev_evi	57.57085020242915	47.504754073084236	52.05564316287452
