	precision	recall	F1
dev_rel	65.82564488796837	56.96130346232179	61.07350307900599
dev_rel_ign	61.757269214330734	56.96130346232179	59.26241317444023
dev_evi	59.422320058701885	45.783008685820015	51.718532280538774
